identifier,VIP
3.72_956.86,1.26206055379861
2.36_748.59,1.26202455612377
2.18_478.38,1.26201998115844
2.61_650.57,1.26187913627406
PC O-37:8|PC O-18:4_19:4,1.26165761334708
Cer d36:1 Isomer B,1.26104713185753
4.44_493.41,1.26077546389554
1.71_880.57,1.26022992512217
3.42_841.80,1.25972826530486
1.99_690.54,1.25970543507697
4.81_146.15,1.25935611932842
2.31_876.61,1.25912932650103
2.03_742.57,1.2589611622645
4.27_413.27,1.25875018468778
3.96_492.41,1.25867683890462
Cer d40:2 ,1.25765260367867
2.29_638.66,1.25739398846385
3.64_130.16,1.25724132679226
3.86_970.89,1.25674302963017
4.62_153.14,1.25635952305338
4.80_130.16,1.25626264258246
0.66_411.23,1.25583003546574
4.74_750.55,1.25581087967224
2.01_756.57,1.25574091923409
2.38_819.61,1.25487179861861
PC 34:1 Isomer A,1.2546714237029
1.96_783.57,1.25449842387146
4.82_263.27,1.25449628132702
1.96_809.58,1.25437405812367
2.63_602.51,1.25331053515562
4.71_418.27,1.25320471258887
4.60_493.41,1.2527308134004
3.70_916.83,1.25126286168011
2.29_595.58,1.25096247809944
3.90_492.41,1.25059204107338
3.32_666.68,1.2505278498469
PE O-22:6_16:1 ,1.25048354718457
1.88_659.47,1.25043717218554
TG 54:6 Isomer A ,1.24942511772592
2.53_666.69,1.24935092643829
5.01_152.05,1.24930046956848
4.78_358.21,1.2486895756502
1.26_391.28,1.24824047364488
Cer d41:1 ,1.24804454456058
2.23_716.57,1.24796960826475
SM d36:2 Isomer A,1.24776915788568
3.42_799.76,1.2470156643275
2.90_693.63,1.24667154033622
4.92_156.04,1.24623894958053
PC O-42:9,1.24617440528845
0.40_422.37,1.24504197744766
Cer d38:1 ,1.24482029766933
2.53_565.57,1.24480521870373
4.81_211.19,1.24478667516913
4.24_391.29,1.24413197369503
2.07_780.58,1.24390957972499
PC 33:0 ,1.24380845008714
3.86_901.80,1.2436779708343
3.42_801.77,1.24273383590639
4.54_750.55,1.24197235015939
2.53_638.65,1.24182852838504
1.96_736.50,1.24161407209865
4.80_209.20,1.24158577229296
4.80_153.14,1.2410165440098
1.78_777.54,1.24061225187617
2.17_761.55,1.240034444645
4.71_751.56,1.23966831440443
2.00_524.53,1.23942341793313
1.47_391.28,1.23873980511469
1.95_810.57,1.23836203183554
4.55_418.27,1.23834967905381
4.77_186.22,1.23792803086289
3.10_666.69,1.23752046218246
PS 34:1 ,1.23693179792328
4.45_1033.02,1.2362157716391
0.66_435.27,1.23561993830676
4.51_368.42,1.23536829276511
1.36_132.14,1.2351938255704
2.09_492.41,1.23453978488321
2.34_792.59,1.234141362997
1.79_786.54,1.23403266623094
4.24_565.56,1.23358783693665
4.28_666.68,1.2334035324811
1.77_882.59,1.23321234226234
2.24_1546.17,1.23218722401583
PC 35:3,1.23147065303438
PC 39:6 ,1.23119176821363
3.84_209.20,1.23097225289997
PC 31:0,1.22975856289745
PC 44:12,1.22953282647285
PC O-39:8 ,1.22931906214465
2.68_685.69,1.22923502770468
0.20_140.08,1.22868502784263
3.80_1008.90,1.22853237358214
4.59_436.28,1.22821649495866
2.33_760.53,1.22810108583192
1.26_413.27,1.22782840573707
1.78_832.51,1.22654426923255
PC 38:6 Isomer C ,1.22603872806694
3.61_864.80,1.22511924774351
3.59_980.87,1.22483044235549
2.62_750.56,1.2246631861762
1.48_413.26,1.22456018784476
PE 40:10|PE 20:5_20:5,1.22455688064443
4.57_376.22,1.22429869038754
2.75_666.68,1.22429713725018
2.29_624.64,1.22364712668622
2.01_924.27,1.22272178755385
2.28_701.41,1.2221547743346
1.64_884.54,1.2220275690331
PC 44:11|PC 22:5_22:6,1.21975066389303
1.37_153.14,1.21970171854044
4.86_429.24,1.21967864744666
4.60_358.20,1.21915737866405
2.48_701.49,1.21894137079926
PC O-38:6|PC O-18:1_20:5,1.21890694154953
3.80_982.88,1.2188050619511
2.10_540.53,1.218226207836
1.90_597.49,1.21739237787207
Cer d38:2 ,1.21702493647549
3.91_493.41,1.21693348738141
2.00_815.57,1.21688642003516
2.45_822.64,1.21636261160497
2.34_765.57,1.21619884621704
0.20_180.07,1.21502470357154
2.25_844.62,1.21499093299309
TG 50:2 ,1.21311027676731
1.35_130.16,1.21185916794128
PC-p 18:0_22:6 ,1.21177943194301
4.12_972.90,1.21127055705136
PI O-18:1_20:4 ,1.2105359837941
Cer d39:1 ,1.20931712713971
4.78_472.42,1.20895126150828
4.43_765.58,1.20854093803131
PI 38:4 ,1.20851696097582
2.75_614.53,1.20842080698441
PE 38:7|PE 18:2_20:5 Isomer A,1.20816331221728
PC O-34:6|PC O-16:1_18:5,1.2079900101652
PC O-32:2 ,1.20794255949791
1.82_492.41,1.20784336469553
2.75_616.53,1.20677888841711
4.58_484.28,1.20652766011304
2.77_680.70,1.20625077173172
1.49_441.30,1.20583756061864
2.38_818.65,1.20518621733789
4.86_217.11,1.20499419909095
PC O-36:8|PC O-15:4_21:4,1.20478700904918
Cer 37:1;O2|Cer 14:1;O2/23:0,1.2043575741184
2.24_1558.13,1.20403165100658
2.53_624.63,1.20399678608179
4.53_225.20,1.20329164270836
0.20_176.02,1.20286594832239
2.01_909.54,1.20277918892716
TG 54:3|TG 18:0_18:1_18:2,1.20242057135422
1.87_764.56,1.20227699384493
2.18_130.16,1.20188769860987
4.93_152.05,1.20175066686176
2.22_668.62,1.20141762209932
1.88_777.55,1.20124148568909
4.46_565.56,1.20029603118138
3.73_982.88,1.19969012762997
