"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"    [#0221] PC O-39:8 ","","","","","",""
"    [#0222] PC O-40:5 ","","","","","",""
"    [#0223] PC O-40:7 ","","","","","",""
"    [#0224] PC O-42:7 or PC 42:7e ","","","","","",""
"    [#0225] PC P-32:1 or PC O-32:2 ","","","","","",""
"    [#0226] PC P-34:0 or PC O-34:1 ","","","","","",""
"    [#0227] PC P-34:1 or PC O-34:2","","","","","",""
"    [#0228] PC P-34:1 or PC O-34:2 ","","","","","",""
"    [#0229] PC P-36:1 or PC O-36:2","","","","","",""
"    [#0230] PC P-36:1 or PC O-36:2 ","","","","","",""
"    [#0231] PC P-36:2 or PC O-36:3 ","","","","","",""
"    [#0232] PC P-36:3 or PC O-36:4 ","","","","","",""
"    [#0233] PC P-38:3 or PC O-38:4","","","","","",""
"    [#0234] PC P-38:3 or PC O-38:4 ","","","","","",""
"    [#0235] PC P-38:4 or PC O-38:5 Isomer A ","","","","","",""
"    [#0236] PC P-38:4 or PC O-38:5 Isomer B ","","","","","",""
"    [#0237] PC P-38:4 or PC O-38:5 Isomer C","","","","","",""
"    [#0238] PC P-38:5 or PC O-38:6 ","","","","","",""
"    [#0239] PC P-38:5 or PC O-38:6 Isomer A ","","","","","",""
"    [#0240] PC P-40:4 or PC O-40:5 ","","","","","",""
"    [#0241] PC P-40:5 or PC O-40:6 ","","","","","",""
"    [#0242] PC P-40:6 or PC O-40:7 Isomer A ","","","","","",""
"    [#0243] PC P-40:6 or PC O-40:7 Isomer B ","","","","","",""
"    [#0244] PC P-40:7 or PC O-40:8 ","","","","","",""
"    [#0245] PC P-42:5 or PC O-42:6","","","","","",""
"    [#0248] PE 16:0_16::1 ","","","","","",""
"    [#0249] PE 16:1_18:1 ","","","","","",""
"    [#0250] PE 18:0_22:3 ","","","","","",""
"    [#0251] PE 34:0 ","","","","","",""
"    [#0252] PE 34:1 ","","","","","",""
"    [#0253] PE 36:1 ","","","","","",""
"    [#0254] PE 36:2 ","","","","","",""
"    [#0255] PE 36:3 ","","","","","",""
"    [#0256] PE 36:4 ","","","","","",""
"    [#0257] PE 36:5|PE 16:0_20:5","","","","","",""
"    [#0258] PE 37:5|PE 17:0_20:5","","","","","",""
"    [#0259] PE 38:2 ","","","","","",""
"    [#0260] PE 38:4 ","","","","","",""
"    [#0261] PE 38:4|PE 18:0_20:4","","","","","",""
"    [#0262] PE 38:5 ","","","","","",""
"    [#0263] PE 38:6 ","","","","","",""
"    [#0264] PE 38:6 Isomer B ","","","","","",""
"    [#0265] PE 38:7|PE 18:2_20:5 Isomer A","","","","","",""
"    [#0266] PE 38:7|PE 18:2_20:5 Isomer B","","","","","",""
"    [#0267] PE 40:10|PE 20:5_20:5","","","","","",""
"    [#0268] PE 40:6|PE 18:1_22:5","","","","","",""
"    [#0269] PE 40:7|PE 18:1_22:6","","","","","",""
"    [#0270] PE O-16:1_18:1 ","","","","","",""
"    [#0271] PE O-16:1_18:2 ","","","","","",""
"    [#0272] PE O-16:1_22:6 ","","","","","",""
"    [#0273] PE O-18:1_22:6 ","","","","","",""
"    [#0274] PE O-18:2_18:2 ","","","","","",""
"    [#0275] PE O-18:2_22:6 ","","","","","",""
"    [#0276] PE O-22:6_16:1 ","","","","","",""
"    [#0277] PE O-36:1 ","","","","","",""
"    [#0278] PE O-36:3 ","","","","","",""
"    [#0279] PE O-36:4 Isomer B","","","","","",""
"    [#0280] PE O-38:2 ","","","","","",""
"    [#0281] PE O-38:6 Isomer B ","","","","","",""
"    [#0282] PE O-38:7 ","","","","","",""
"    [#0283] PE O-40:5 Isomer B ","","","","","",""
"    [#0284] PE O-40:6 Isomer B ","","","","","",""
"    [#0285] PE O-40:8 ","","","","","",""
"    [#0286] PE P-34:1 or PE O-34:2 ","","","","","",""
"    [#0287] PE P-36:1 or PE O-36:2","","","","","",""
"    [#0288] PE P-36:4 or PE O-36:5 ","","","","","",""
"    [#0289] PE P-36:5 or PE O-36:6 ","","","","","",""
"    [#0290] PE P-38:4 or PE O-38:5 Isomer A","","","","","",""
"    [#0291] PE P-38:4 or PE O-38:5 Isomer B","","","","","",""
"    [#0292] PE P-38:5 or PE O-38:6 ","","","","","",""
"    [#0293] PE P-40:5 or PE O-40:6 ","","","","","",""
"    [#0328] SM 29:2;2O/8:0 ","","","","","",""
"    [#0329] SM 35:1;2O ","","","","","",""
"    [#0330] SM 37:4;3O ","","","","","",""
"    [#0331] SM 41:3;3O ","","","","","",""
"    [#0332] SM d30:1 ","","","","","",""
"    [#0333] SM d31:1 ","","","","","",""
"    [#0334] SM d32:0 ","","","","","",""
"    [#0335] SM d32:0 Isomer B ","","","","","",""
"    [#0336] SM d32:1 Isomer A","","","","","",""
"    [#0337] SM d32:1 Isomer B","","","","","",""
"    [#0338] SM d32:2 ","","","","","",""
"    [#0339] SM d33:1 ","","","","","",""
"    [#0340] SM d34:0 ","","","","","",""
"    [#0341] SM d34:1 Isomer A","","","","","",""
"    [#0342] SM d34:1 Isomer B","","","","","",""
"    [#0343] SM d34:2 ","","","","","",""
"    [#0344] SM d35:1 ","","","","","",""
"    [#0345] SM d35:2 ","","","","","",""
"    [#0346] SM d36:0 ","","","","","",""
"    [#0347] SM d36:1 Isomer A","","","","","",""
"    [#0348] SM d36:1 Isomer B","","","","","",""
"    [#0349] SM d36:2 Isomer A","","","","","",""
"    [#0350] SM d36:4 ","","","","","",""
"    [#0351] SM d37:1 ","","","","","",""
"    [#0352] SM d38:1 ","","","","","",""
"    [#0353] SM d38:2 Isomer A","","","","","",""
"    [#0354] SM d38:2 Isomer B","","","","","",""
"    [#0355] SM d39:2 ","","","","","",""
"    [#0356] SM d40:2 Isomer B ","","","","","",""
"    [#0357] SM d41:2 Isomer A ","","","","","",""
"    [#0358] SM d42:2 Isomer B ","","","","","",""
"    [#0417] PE 34:1","","","","","",""
"    [#0418] PC 18:0_18:1","","","","","",""
"    [#0419] PE 36:1","","","","","",""
"    [#0422] PC 16:0_22:6","","","","","",""
"    [#0423] PE 34:0","","","","","",""
"    [#0424] LPE 22:6","","","","","",""
"    [#0425] PE O-16:1_18:2","","","","","",""
"    [#0426] LPC 18:0 Isomer B","","","","","",""
"    [#0428] LPE 20:4","","","","","",""
"    [#0429] LPC 22:6","","","","","",""
"    [#0430] LPC O-18:0","","","","","",""
"    [#0431] LPC 20:0","","","","","",""
"    [#0432] SM d40:2 Isomer B","","","","","",""
"    [#0433] PE O-16:1_18:1","","","","","",""
"    [#0434] PE 36:3","","","","","",""
"    [#0435] LPC 20:2","","","","","",""
"    [#0436] PC P-34:0 or PC O-34:1","","","","","",""
"    [#0437] PE P-34:1 or PE O-34:2","","","","","",""
"    [#0439] LPC 20:5","","","","","",""
"    [#0441] PE O-36:1","","","","","",""
"    [#0442] PC 14:0_16:1","","","","","",""
"    [#0445] PE 36:2","","","","","",""
"    [#0446] PC O-36:1","","","","","",""
"    [#0449] PC O-34:2","","","","","",""
"    [#0450] PC 31:1","","","","","",""
"    [#0451] PC 31:1","","","","","",""
"    [#0453] PE 38:2","","","","","",""
"    [#0456] PE O-22:6_16:1","","","","","",""
"    [#0457] SM d42:2 Isomer B","","","","","",""
"    [#0458] PC 18:0_22:6","","","","","",""
"LION:0012081","mitochondrion","71","16","9.56","0.0155","0.221"
"    [#0091] LPE 16:0 ","","","","","",""
"    [#0092] LPE 18:0 ","","","","","",""
"    [#0093] LPE 18:1 ","","","","","",""
"    [#0094] LPE 18:2 ","","","","","",""
"    [#0095] LPE 20:4 ","","","","","",""
"    [#0096] LPE 20:5","","","","","",""
"    [#0097] LPE 22:6 ","","","","","",""
"    [#0098] LPE O-18:1 ","","","","","",""
"    [#0099] LPE O-20:0 ","","","","","",""
"    [#0248] PE 16:0_16::1 ","","","","","",""
"    [#0249] PE 16:1_18:1 ","","","","","",""
"    [#0250] PE 18:0_22:3 ","","","","","",""
"    [#0251] PE 34:0 ","","","","","",""
"    [#0252] PE 34:1 ","","","","","",""
"    [#0253] PE 36:1 ","","","","","",""
"    [#0254] PE 36:2 ","","","","","",""
"    [#0255] PE 36:3 ","","","","","",""
"    [#0256] PE 36:4 ","","","","","",""
"    [#0257] PE 36:5|PE 16:0_20:5","","","","","",""
"    [#0258] PE 37:5|PE 17:0_20:5","","","","","",""
"    [#0259] PE 38:2 ","","","","","",""
"    [#0260] PE 38:4 ","","","","","",""
"    [#0261] PE 38:4|PE 18:0_20:4","","","","","",""
"    [#0262] PE 38:5 ","","","","","",""
"    [#0263] PE 38:6 ","","","","","",""
"    [#0264] PE 38:6 Isomer B ","","","","","",""
