metabolite	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	comparison	module
xylitol	0.717096047809454	6.83489406404398	6.11779801623452	4.36524924142914	0.000110244258631411	34.4012767338583	0.383394913724629	1.05079718189428	Welch Two Sample t-test	two.sided	0.000771709810419877	13v5_day22	module0
N-acetylgalactosamine	-0.910249212807374	6.13596329984048	7.04621251264785	-5.16055070433455	2.01356161730611e-05	26.8329592654582	-1.27226896497904	-0.548229460635711	Welch Two Sample t-test	two.sided	0.000718362859367115	13v30_day22	module1
N-acetylgalactosamine	0.529804597978241	6.13596329984048	5.60615870186224	2.81986483530387	0.00751851167067579	38.932185479465	0.149754242077736	0.909854953878745	Welch Two Sample t-test	two.sided	0.0166198679035991	13v5_day22	module1
glycerol-3-galactoside 	0.839170537153668	9.16705186913945	8.32788133198578	3.58952557732543	0.00124417847713584	28.0836985517778	0.360351787586104	1.31798928672123	Welch Two Sample t-test	two.sided	0.00435462466997543	13v5_day22	module1
ononitol	0.885307799253456	7.66726521017625	6.78195741092279	3.3308525449399	0.00190244203480057	38.9816663373838	0.347688390869582	1.42292720763733	Welch Two Sample t-test	two.sided	0.00575093226315157	13v5_day22	module1
pinitol	1.70000287351668	10.1762358141193	8.47623294060261	8.08587849359808	4.03800668041026e-09	30.8943183389558	1.27114910127855	2.12885664575482	Welch Two Sample t-test	two.sided	1.69596280577231e-07	13v5_day22	module1
fumaric acid	-0.996658370935226	8.77137533007714	9.76803370101236	-4.52524535836007	0.00190782167181727	8.04712116923539	-1.5040248662072	-0.489291875663249	Welch Two Sample t-test	two.sided	0.0243247263156702	5_day3v22	module1
maleimide	-1.02213843055822	9.46366084109252	10.4857992716507	-4.24802970982493	0.00114114803235499	11.9523212750154	-1.54662488202114	-0.497651979095307	Welch Two Sample t-test	two.sided	0.0193995165500347	5_day3v22	module1
glutathione 	-0.603678281271813	7.60480446718682	8.20848274845863	-2.3718979944557	0.0264117047884173	23.0861391983009	-1.13006933747999	-0.0772872250636342	Welch Two Sample t-test	two.sided	0.049180415812915	13v30_day22	module2
glycine	0.597740764013082	14.7901896045223	14.1924488405092	3.38580027606154	0.00418685633886806	14.670316472078	0.220709503433681	0.974772024592483	Welch Two Sample t-test	two.sided	0.0169190876001111	13v30_day22	module2
phenylethylamine	1.33027293119645	10.537165979628	9.20689304843156	2.7563690481787	0.0114178561717357	22.3517094774877	0.330297090370975	2.33024877202193	Welch Two Sample t-test	two.sided	0.0280256469669876	13v30_day22	module2
threonine	0.744870364955341	11.2618854500124	10.517015085057	4.11676348906737	0.00075877069654416	16.5345414053256	0.362308700163268	1.12743202974741	Welch Two Sample t-test	two.sided	0.00672404040385438	13v30_day22	module2
4-hydroxymandelic acid	0.575917585812564	8.56256426103635	7.98664667522379	2.54635441864198	0.0149590736784147	38.8928955912688	0.118398460297723	1.0334367113274	Welch Two Sample t-test	two.sided	0.0258506006665393	13v5_day22	module2
N-methylethanolamine	-0.765422255949808	12.2382091982603	13.0036314542101	-5.06933841306414	1.38604490267001e-05	34.1049175604296	-1.07223723015759	-0.458607281742029	Welch Two Sample t-test	two.sided	0.000194046286373801	13v5_day22	module2
alanine	-0.620325167597889	15.0124692025612	15.6327943701591	-3.60235494068877	0.00101295571074064	33.3748498615473	-0.970519080613971	-0.270131254581807	Welch Two Sample t-test	two.sided	0.00393939824953152	13v5_day22	module2
arabitol	0.368207560489279	8.29586733298266	7.92765977249338	2.39091434173254	0.0226225235213568	33.2446002838686	0.0549740117868938	0.681441109191664	Welch Two Sample t-test	two.sided	0.0316715329298995	13v5_day22	module2
threonine	0.449377451738901	11.2618854500124	10.8125079982735	3.32802721431409	0.00191697742105052	38.9972065089207	0.176256556220925	0.722498347256876	Welch Two Sample t-test	two.sided	0.00575093226315157	13v5_day22	module2
3-Aminopiperidine-2,6-dione 	-0.902392992443032	9.16559291629999	10.067985908743	-4.19908493156545	0.00360222967728441	7.36971115305262	-1.40543373294012	-0.39935225194594	Welch Two Sample t-test	two.sided	0.0323647200022262	5_day3v22	module2
asparagine	-0.785774312752023	10.2024873041049	10.9882616168569	-4.90875122356711	0.000622515300919395	9.95897836524051	-1.14264558697961	-0.428903038524439	Welch Two Sample t-test	two.sided	0.0158741401734446	5_day3v22	module2
phenylethylamine	-2.61764967645012	9.76498341764324	12.3826330940934	-6.54327871831893	1.39079009661393e-05	13.8196271502053	-3.47672703479909	-1.75857231810114	Welch Two Sample t-test	two.sided	0.000709302949273104	5_day3v22	module2
4-hydroxybenzoate	-0.487839659777991	7.79105607236163	8.27889573213962	-3.03912533292338	0.00806578632049821	15.4466839078619	-0.829119703472621	-0.146559616083362	Welch Two Sample t-test	two.sided	0.0229238137529949	13v30_day22	module3
glutaric acid	-0.509012150840764	6.39178483337555	6.90079698421631	-2.73241335091082	0.0163044722010674	13.869594187829	-0.908910016122079	-0.109114285559449	Welch Two Sample t-test	two.sided	0.0314668516712722	13v30_day22	module3
hydroquinone	-0.74254462562623	6.96327809042397	7.7058227160502	-3.23664467471502	0.00753512383065702	11.4605916498972	-1.24502538099867	-0.240063870253787	Welch Two Sample t-test	two.sided	0.0226053714919711	13v30_day22	module3
myo-inositol	-2.35256025788024	11.7459648299875	14.0985250878677	-6.13245492261758	6.93912878890169e-05	11.1622469056886	-3.19541723691899	-1.5097032788415	Welch Two Sample t-test	two.sided	0.0012490431820023	13v30_day22	module3
