lipid	identifier	PubChem.CID	Chemical.Name	INCHIKEY
NAE 9:0	0.23_202.17	14455154	N-(2-hydroxyethyl)nonanamide	QWJKOSGGYVUJBP-UHFFFAOYSA-N
PC 14:0_16:1 	1.80_704.52	24778615	1-tetradecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine	XGGMHQYOVYWRLV-IZNHTBNISA-N
PC 16:0/9:0 CHO 	0.99_650.44	46907874	1-Palmitoyl-2-(9-oxo-nonanoyl)-sn-glycero-3-phosphocholine	PPTNNIINSOQWCE-WJOKGBTCSA-N
PC 16:0_14:0 	1.99_706.55	10190333	(3-Hexadecanoyloxy-2-tetradecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	UIXXHROAQSBBOV-UHFFFAOYSA-N
PC 16:0_18:2 	2.18_792.53	122218	[3-(1-oxohexadecoxy)-2-(1-oxooctadeca-9,12-dienoxy)propyl] 2-(trimethylammonio)ethyl phosphate	JLPULHDHAOZNQI-UHFFFAOYSA-N
PC 16:0_22:6 	2.06_840.53	74063529	(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-hexadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	IESVDEZGAHUQJU-UHFFFAOYSA-N
PC 16:1/18:4 	1.67_752.52	24778769	PC(16:1(9Z)/18:4(6Z,9Z,12Z,15Z))	ZNSRWHZSOOOECB-IHLJWWGMSA-N
PC 18:0_18:1 	2.63_822.58	3033933	(3-Octadecanoyloxy-2-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	ATHVAWFAEPLPPQ-UHFFFAOYSA-N
PC 18:0_22:6 	2.29_868.56_2.29_892.61	133026175	(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	FAUYAENFVCNTAL-UHFFFAOYSA-N
PC 18:2_20:5 	1.83_862.56	24778981	[2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	HRBNRYBXXRPMKP-OMCHRGCMSA-N
PC 19:1 	0.72_550.35	138312775	[3-acetyloxy-2-[(Z)-heptadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	ZHAHTCLACAJNQI-SEYXRHQNSA-N
PC 20:1_20:1 	2.70_842.66	24779063	1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine	AEUCYCQYAUFAKH-DITNKEBASA-N
PC 21:4 	0.53_572.34	138298680	[2-[(6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoyl]oxy-3-propanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	XOZKRFBVCYMGKM-GKFVBPDJSA-N
PC 22:4 	0.53_630.34	138159393	[3-acetyloxy-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	GFFACUDRMCKGID-ZKWNWVNESA-N
PC 24:0 	1.39_622.45	65262	Dilaurylphosphatidylcholine	IJFVSSZAOYLHEE-UHFFFAOYSA-N
PC 24:0|PC 10:0_14:0	1.44_680.45	24778525	(3-Decanoyloxy-2-tetradecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	BQAGEKPOHNCEPX-UHFFFAOYSA-N
PC 26:0|PC 10:0_16:0	1.58_650.48	138277677	(3-Decanoyloxy-2-hexadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	VBWSYJOSSOZQOH-UHFFFAOYSA-N
PC 29:0 	1.86_692.53	138165033	(3-Acetyloxy-2-heptacosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	GWWAIYISJPUKIW-UHFFFAOYSA-N
PC 31:0	2.10_720.56	14818904	(2-Hexadecanoyloxy-3-pentadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	LLHISNQVRRYJGL-UHFFFAOYSA-N
PC 31:1 	1.90_718.54	24778657	1-pentadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine	QFVHCMLUKNHDSH-WTWBAFHPSA-N
PC 32:0 	2.37_792.57	452110	Colfosceril Palmitate	KILNVBDSWZSGLL-KXQOOQHDSA-N
PC 32:1 Isomer A	2.02_732.56_1.97_754.54	6443788	1-Palmitoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine	QIBZFHLFHCIUOT-NPBIGWJUSA-N
PC 32:1 Isomer B	2.13_790.56	6443090	1-Palmitoyl-2-palmitoleoylphosphatidylcholine	QIBZFHLFHCIUOT-ZPHPHTNESA-N
PC 32:2 Isomer A	1.83_730.54	24778764	1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine	GPWHCUUIQMGELX-VHQDNGOZSA-N
PC 32:2 Isomer B	1.93_788.54	24778764	1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine	GPWHCUUIQMGELX-VHQDNGOZSA-N
PC 33:0 	2.29_748.59_2.28_770.57	52922645	1-Octadecanoyl-2-pentadecanoyl-glycero-3-phosphocholine	FHENRYRLCPXONH-LDLOPFEMSA-N
PC 33:1 Isomer A	2.12_746.57_2.08_768.55	52922442	1-(9Z-hexadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine	OFRWLQSOUIZELQ-VEAYGOGPSA-N
PC 33:1 Isomer B	2.25_804.58	24778662	1-pentadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine	GXTATYLPYLLNLV-MGIDVFSBSA-N
PC 33:2 Isomer A	1.96_744.55_1.91_766.54	52922715	1-(9Z,12Z-octadecadienoyl)-2-pentadecanoyl-glycero-3-phosphocholine	SBNDHGBVMZMSNL-UESLNCBNSA-N
PC 33:2 Isomer B	2.08_802.56	52922715	1-(9Z,12Z-octadecadienoyl)-2-pentadecanoyl-glycero-3-phosphocholine	SBNDHGBVMZMSNL-UESLNCBNSA-N
PC 34:0	2.46_762.60	24778686	1-Hexadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine	PZNPLUBHRSSFHT-RRHRGVEJSA-N
