Lipid,identifier,lipid,Ion.species,INCHIKEY
154,2.18_792.53,PC 16:0_18:2 ,[M+Cl]-,JLPULHDHAOZNQI-UHFFFAOYSA-N
155,2.06_840.53,PC 16:0_22:6 ,[M+Cl]-,IESVDEZGAHUQJU-UHFFFAOYSA-N
158,2.29_868.56_2.29_892.61,PC 18:0_22:6 ,[M+Cl]-_[M+Hac-H]-,FAUYAENFVCNTAL-UHFFFAOYSA-N
159,2.56_922.65,PC 18:0_24:5 ,[M+Hac-H]-,QKKKBFSONQRFRO-UHFFFAOYSA-N
160,1.83_862.56,PC 18:2_20:5 ,[M+Hac-H]-,HRBNRYBXXRPMKP-OMCHRGCMSA-N
162,2.70_842.66,PC 20:1_20:1 ,[M+H]+,AEUCYCQYAUFAKH-DITNKEBASA-N
181,2.29_748.59_2.28_770.57,PC 33:0 ,[M+H]+_[M+Na]+,FHENRYRLCPXONH-LDLOPFEMSA-N
184,1.96_744.55_1.91_766.54,PC 33:2 Isomer A,[M+H]+_[M+Na]+,SBNDHGBVMZMSNL-UESLNCBNSA-N
187,2.06_740.52,PC 33:4|PC 15:2_18:2,[M+H]+,VZVZQQCSQMEVAN-UHFFFAOYSA-N
190,2.24_760.59_2.24_782.57,PC 34:1 Isomer A,[M+H]+_[M+Na]+,WTJKGGKOPKCXLL-VYOBOKEXSA-N
191,2.38_818.59,PC 34:1 Isomer B,[M+Hac-H]-,WTJKGGKOPKCXLL-MRCUWXFGSA-N
192,2.04_758.57,PC 34:2 Isomer A,[M+H]+,JLPULHDHAOZNQI-ZTIMHPMXSA-N
193,2.16_816.58,PC 34:2 Isomer B,[M+Hac-H]- ,JLPULHDHAOZNQI-ZTIMHPMXSA-N
194,1.98_814.57,PC 34:3 ,[M+Hac-H]-,CNNSEHUKQJCGTE-UPPWDXJYSA-N
195,1.89_756.56,PC 34:3 Isomer B ,[M+H]+,VKVSSDKCKXJFIM-AFYHZPHLSA-N
205,2.02_770.55,PC 35:3,[M+H]+,CCWBLPGHMXYSEO-UHFFFAOYSA-N
213,2.25_808.59,PC 36:2,[M+Na]+,ANCOIGUVGMVZMF-UHFFFAOYSA-N
214,2.25_786.60,PC 36:2 Isomer A,[M+H]+,SNKAWJBJQDLSFF-NVKMUCNASA-N
215,2.40_844.61,PC 36:2 Isomer B,[M+Hac-H]- ,SNKAWJBJQDLSFF-NVKMUCNASA-N
216,2.07_784.59,PC 36:3 Isomer A ,[M+H]+,BXRLDROZWDUSGM-ZRYFCQOPSA-N
217,2.19_842.59,PC 36:3 Isomer AB,[M+Hac-H]- ,YPAZQMWFRMHBBM-CLKMJQEKSA-N
218,1.88_782.57_1.89_804.55,PC 36:4 Isomer A ,[M+H]+_[M+Na]+,NKQPOVROGSWLTO-NVPMBMBWSA-N
219,2.01_782.57,PC 36:4 Isomer B,[M+H]+,IIZPXYDJLKNOIY-JXPKJXOSSA-N
220,2.14_840.58,PC 36:4 Isomer C ,[M+Hac-H]-,IIZPXYDJLKNOIY-JXPKJXOSSA-N
221,1.76_780.55,PC 36:5 Isomer A ,[M+H]+,SUZYROYNFNQALJ-MHEIZRSESA-N
222,1.97_838.56,PC 36:5 Isomer B ,[M+Hac-H]-,DYDDZDMJSQYFGN-OIVUZXIWSA-N
224,1.88_780.56_1.87_802.54,PC 36:5 Isomer D ,[M+H]+_[M+Na]+,SUZYROYNFNQALJ-MHEIZRSESA-N
226,2.56_802.63,PC 37:1,[M+H]+,FJZPGDCOKAUAQA-UHFFFAOYSA-N
233,1.72_790.54,PC 37:7|PC 17:2_20:5,[M+H]+,GQIULIXPAHRSNV-UHFFFAOYSA-N
234,1.92_786.51,PC 37:9,[M+H]+,HTOXDSJJLQRKAN-UHFFFAOYSA-N
235,2.48_816.65,PC 38:1,[M+H]+,BVCUNKXTUMEPTF-UHFFFAOYSA-N
236,2.70_816.65,PC 38:1 ,[M+H]+,
237,2.48_814.63,PC 38:2 Isomer A,[M+H]+,KXXLFCAPKGRXBT-FMJYHZMHSA-N
238,2.64_872.64,PC 38:2 Isomer B,[M+Hac-H]-,ZQLPLCXRBVPKGP-UHFFFAOYSA-N
239,2.28_812.62,PC 38:3 Isomer A,[M+H]+,KNNHXKQRTYEWCA-HYYWERRFSA-N
240,2.42_870.62,PC 38:3 Isomer B,[M+Hac-H]-,LLUINWFQEIMZRU-UHFFFAOYSA-N
242,2.22_868.60,PC 38:4 Isomer B ,[M+Hac-H]-,HUAVKOMRGUBYMK-UHFFFAOYSA-N
243,2.24_810.60_2.23_832.58,PC 38:4 Isomer C ,[M+H]+_[M+Na]+,PSVRFUPOQYJOOZ-QNPWAGBNSA-N
244,2.48_810.61,PC 38:4|PC 19:2_19:2,[M+H]+,TWXNOZDNXVHOLP-UHFFFAOYSA-N
245,2.02_808.59_2.02_830.56,PC 38:5 Isomer A ,[M+H]+_[M+Na]+,SUACBSWYGWBPFC-GPUJSUHJSA-N
246,2.15_866.59,PC 38:5 Isomer B ,[M+Hac-H]-,YLWBKBDNHWQEFU-YJXJLLHLSA-N
247,1.88_806.57_1.88_828.55,PC 38:6 Isomer A ,[M+H]+_[M+Na]+,PLZBTDKJYHXIEW-DZUXOTHRSA-N
248,1.99_864.58,PC 38:6 Isomer B,[M+Hac-H]-,RUHBZJXWUDKAMZ-XXAGCNFXSA-N
249,2.06_806.57,PC 38:6 Isomer C ,[M+H]+,PLZBTDKJYHXIEW-DZUXOTHRSA-N
250,1.76_804.56_1.74_826.53,PC 38:7 ,[M+H]+_[M+Na]+,BNNUJTATKJXKJP-XCDHYEIISA-N
251,1.79_802.53,PC 38:8 ,[M+H]+,GQTMDGAVIYVIDL-RVTNGMKESA-N
252,2.33_824.61,PC 39:4 ,[M+H]+,
253,1.95_822.60,PC 39:5 Isomer A,[M+H]+,FVTVIYPLHMTBGA-UHFFFAOYSA-N
261,2.50_840.65,PC 40:3 ,[M+H]+,JYFWSVLYQSTYHE-XEAUMUMLSA-N
262,2.30_838.63,PC 40:4 Isomer A,[M+H]+,AAYOXXRTLLISDA-UHFFFAOYSA-N
263,2.39_838.63,PC 40:4 Isomer B,[M+H]+,FHUAYOMRHXZKHT-JUGJLYODSA-N
264,2.55_896.64,PC 40:4 Isomer C,[M+Hac-H]- ,QQIYXJBHMDYXHH-NMUBDWGHSA-N
265,2.24_836.62_2.22_858.60,PC 40:5 Isomer A ,[M+H]+_[M+Na]+,IJTJDJOOHZVSAC-NDRUHXFFSA-N
266,2.38_894.62,PC 40:5 Isomer B ,[M+Hac-H]-,LJFKFKIYUJNFPZ-ZLFSCUDPSA-N
267,2.08_834.60_2.08_856.58,PC 40:6 Isomer A ,[M+H]+_[M+Na]+,KZSXWBSDQDXESU-PPEVQBTRSA-N
268,2.16_834.60_2.17_856.58,PC 40:6 Isomer B ,[M+H]+_[M+Na]+,TYRTWVKQVGNGSZ-RGBTVBCDSA-N
269,2.08_890.59,PC 40:7 ,[M+Hac-H]-,FPEVDFOXMCHLKL-UHFFFAOYSA-N
270,1.91_832.59,PC 40:7 Isomer A ,[M+H]+,BPUROMFCPFGBOT-ZEGPSQTJSA-N
271,1.96_832.59_1.96_854.57,PC 40:7 Isomer B ,[M+H]+_[M+Na]+,BPUROMFCPFGBOT-ZEGPSQTJSA-N
272,1.80_830.57_1.80_852.55,PC 40:8 Isomer A,[M+H]+_[M+Na]+,SIMZOWLEIOYZJX-VRCXRDLJSA-N
273,1.90_888.58,PC 40:8 Isomer B,[M+Hac-H]-,BFCSBEFTXQRIOJ-IMYLGOOQSA-N
275,1.98_828.54,PC 40:9|PC 18:3_22:6,[M+H]+,KQEBTLYBLYIGCO-UHFFFAOYSA-N
279,2.23_848.62,PC 41:6|PC 19:0_22:6,[M+H]+,MCBZZOAHAMROOU-UHFFFAOYSA-N
284,1.76_854.57_1.76_876.56,PC 42:10 ,[M+H]+_[M+Na]+,
287,2.43_864.65,PC 42:5 ,[M+H]+,APYSSUSAYQRESE-VZWUYPTESA-N
288,2.27_862.63,PC 42:6 Isomer A,[M+H]+,DSVRMAGYENFTLY-GDDYDVMSSA-N
289,2.23_862.63,PC 42:6 Isomer B,[M+H]+,ZQZWZGRWXYGCHL-KWBDKPQYSA-N
290,2.17_860.62,PC 42:7 ,[M+H]+,LQGLSURTFNDIMU-JXUGAEHWSA-N
292,1.99_880.58_1.99_858.60,PC 42:8 Isomer B,[M+Na]+_[M+H]+,IYXCMTDFTGTXCB-UHFFFAOYSA-N
293,1.84_856.59,PC 42:9 ,[M+H]+,FDDWZRUXIMATBC-WHMDNIGFSA-N
294,1.87_856.58,PC 42:9|PC 20:3_22:6,[M+H]+,UOHAUYMPRRFULX-UHFFFAOYSA-N
295,1.64_868.59,PC 43:10 Isomer A,[M+H]+,MEMRRVFGVSLHIA-UHFFFAOYSA-N
297,1.90_882.60,PC 44:10,[M+H]+,XAFPNZQFSGKDDB-UHFFFAOYSA-N
298,1.77_902.57,PC 44:11,[M+Na]+,UCERGKJQFBLCRB-UHFFFAOYSA-N
299,1.77_880.59,PC 44:11|PC 22:5_22:6,[M+H]+,LIYXTHCSSCAYRI-UHFFFAOYSA-N
300,1.71_900.55_1.71_878.57,PC 44:12,[M+Na]+_[M+H]+,XLKQWAMTMYIQMG-UHFFFAOYSA-N
301,2.39_888.64,PC 44:7,[M+H]+,SXLRSCSDOMRNSL-UHFFFAOYSA-N
302,2.21_886.63,PC 44:8,[M+H]+,OWKJOILEORWVEV-UHFFFAOYSA-N
314,2.15_718.58,PC O-32:1|PC O-16:0_16:1,[M+H]+,HJVQHTGUAIETCQ-UHFFFAOYSA-N
315,2.11_716.56,PC O-32:2 ,[M+H]+,NOYDAUSEIWVTMO-XOMYGGGSSA-N
317,2.01_722.51,PC O-33:6 ,[M+H]+,YTUHEWRQCXCRCS-MSXCAIDTSA-N
321,2.40_788.58,PC O-34:2 ,[M+FA-H]-,WDQJCKHLEYAETE-MGXYOJEMSA-N
323,2.12_742.57,PC O-34:3|PC O-16:2_18:1,[M+H]+,NIKRJMBNOQBCJY-UHFFFAOYSA-N
324,2.15_740.56,PC O-34:4|PC O-15:2_19:2,[M+H]+,XMHXXITXNBPALH-UHFFFAOYSA-N
325,1.78_738.54,PC O-34:5|PC O-14:0_20:5,[M+H]+,LAYKQTFKSQXATG-UHFFFAOYSA-N
326,1.67_736.53,PC O-34:6|PC O-16:1_18:5,[M+H]+,ZVZUNIABXAMDPL-UHFFFAOYSA-N
328,1.88_752.56,PC O-35:5|PC O-15:0_20:5,[M+H]+,IXXUVJRIJHDOLH-UHFFFAOYSA-N
329,1.74_750.54,PC O-35:6|PC O-15:1_20:5,[M+H]+,PGLZOPOYHKOBOD-UHFFFAOYSA-N
331,1.99_766.58,PC O-36:5,[M+H]+,XQNZBQBKIGMIID-UHFFFAOYSA-N
332,1.79_764.56,PC O-36:6|PC O-28:6_8:0,[M+H]+,XWWGFNXTSFBXSV-UHFFFAOYSA-N
333,1.73_762.54,PC O-36:7|PC O-14:1_22:6,[M+H]+,AXGNAJSJYHDVIE-UHFFFAOYSA-N
335,1.78_760.53,PC O-36:8|PC O-15:4_21:4,[M+H]+,RWUSUIYMRAHTSG-UHFFFAOYSA-N
337,2.36_778.58,PC O-37:6 ,[M+H]+,XJDKSTIRVDWFRL-MSXCAIDTSA-N
339,1.94_778.58,PC O-37:6|PC O-16:2_21:4,[M+H]+,UNQFLBLBMMXLNZ-UHFFFAOYSA-N
340,1.81_776.56,PC O-37:7|PC O-21:3_16:4,[M+H]+,KTXOXYNZBWISDE-UHFFFAOYSA-N
341,1.88_774.54,PC O-37:8|PC O-18:4_19:4,[M+H]+,ZKOIQGQFUIBTBK-UHFFFAOYSA-N
343,2.00_792.59,PC O-38:6|PC O-18:1_20:5,[M+H]+,IXJTXTUANBZPRR-UHFFFAOYSA-N
344,2.14_848.58,PC O-38:7 ,[M+Hac-H]-,LSUUYCOJTDXYNX-AQISBKEKSA-N
346,1.96_790.57,PC O-38:7|PC O-18:2_20:5,[M+H]+,DBCXCFBGWOEMJV-UHFFFAOYSA-N
348,1.88_790.58,PC O-38:7|PC O-26:7_12:0,[M+H]+,VWKOBVXUQODLJP-UHFFFAOYSA-N
349,1.99_788.56,PC O-38:8,[M+H]+,FCNCLGVQZFEHST-UHFFFAOYSA-N
352,2.10_802.57,PC O-39:8 ,[M+H]+,FYLHFHLSNYCGOC-FPWUCMTFSA-N
353,1.94_800.56,PC O-39:9|PC O-17:3_22:6,[M+H]+,SCYVEJDGCKBBJK-UHFFFAOYSA-N
354,1.88_812.56,PC O-40:10|PC O-20:5_20:5,[M+H]+,FGEPWWQZFIUJMY-UHFFFAOYSA-N
355,2.52_880.64,PC O-40:5 ,[M+Hac-H]-,HJDYJUQFSIJNGA-MMLUMLTRSA-N
356,2.21_876.61,PC O-40:7 ,[M+Hac-H]-,MWJZGUPJPKCTCF-BGOAOESGSA-N
357,2.17_818.61,PC O-40:7|PC O-26:7_14:0,[M+H]+,TZPWELYWHMBLNH-UHFFFAOYSA-N
358,2.07_814.58,PC O-40:9|PC O-18:4_22:5,[M+H]+,VCWYIBIQQAJUAS-UHFFFAOYSA-N
359,2.17_814.57,PC O-40:9|PC O-19:4_21:5,[M+H]+,OKYNKMQEYNTPNY-UHFFFAOYSA-N
360,1.64_824.56,PC O-41:11,[M+H]+,POUGFOMGZOSCQV-UHFFFAOYSA-N
361,2.26_840.59,PC O-42:10|PC O-20:5_22:5,[M+H]+,IXVPPBHEBBKZRA-UHFFFAOYSA-N
363,2.30_846.64,PC O-42:7 or PC 42:7e ,[M+H]+,ZMQLLTKZNYACNP-MSTLYMIMSA-N
364,2.30_842.60,PC O-42:9,[M+H]+,CIKLTOCCZGXOIB-UHFFFAOYSA-N
365,1.97_716.56,PC P-32:1 or PC O-32:2 ,[M+H]+,FZMYLOBGNYZPQO-QLSONYGBSA-N
374,2.28_826.60,PC P-36:3 or PC O-36:4 ,[M+Hac-H]-,SOUZQPFUXRVDGK-KCTKZSJBSA-N
375,2.38_796.62,PC P-38:3 or PC O-38:4,[M+H]+,GWBOVQHRCURSPU-QMFAPAEZSA-N
376,2.53_854.63,PC P-38:3 or PC O-38:4 ,[M+Hac-H]-,GWBOVQHRCURSPU-QMFAPAEZSA-N
377,2.18_794.61,PC P-38:4 or PC O-38:5 Isomer A ,[M+H]+,YPAPIRJFGNBODV-AMFPDOHCSA-N
378,2.33_794.61,PC P-38:4 or PC O-38:5 Isomer B ,[M+H]+,DYFGXBAIDOATAE-DSLLYOFSSA-N
379,2.48_852.61,PC P-38:4 or PC O-38:5 Isomer C,[M+Hac-H]-,DBQMOXDLWKVKKG-REWQMPQJSA-N
380,2.20_850.60,PC P-38:5 or PC O-38:6 ,[M+Hac-H]-,ATTCDOPAYPGSLE-LQULQHAGSA-N
381,2.08_792.59,PC P-38:5 or PC O-38:6 Isomer A ,[M+H]+,FAKYQMLQEAQOLK-LHZZQLRFSA-N
382,2.38_822.64,PC P-40:4 or PC O-40:5 ,[M+H]+,UWNFEVACEPZILS-RNNLSGHUSA-N
383,2.30_820.62,PC P-40:5 or PC O-40:6 ,[M+H]+,KUHMJRMPHBRAMY-DDURNVNNSA-N
384,2.09_818.61,PC P-40:6 or PC O-40:7 Isomer A ,[M+H]+,XUVCLJCZWPTAIO-OAKHYACESA-N
385,2.26_818.61,PC P-40:6 or PC O-40:7 Isomer B ,[M+H]+,FMBYBTSZVHUJMV-DIVFMYBRSA-N
386,2.04_816.59,PC P-40:7 or PC O-40:8 ,[M+H]+,PWAHARWXEAMNGK-VCDFOAEJSA-N
387,2.38_848.65,PC P-42:5 or PC O-42:6,[M+H]+,QZMFOSCFDWPISC-KQHSIIGPSA-N
388,2.54_848.65,PC P-42:5 or PC O-42:6,[M+H]+,QZMFOSCFDWPISC-KQHSIIGPSA-N
390,2.36_818.60,PC-p 18:0_22:6 ,[M+H]+,TXHZYNSTTCIWMJ-RXSQUPBGSA-N
399,2.24_740.52,PE 36:3 ,[M-H]-,GKAFCSRKMWFPSJ-RQOIEFAZSA-N
400,2.18_738.51,PE 36:4 ,[M-H]-,NQIMLWFRWGTTOZ-JAXHXWBXSA-N
401,1.90_738.51,PE 36:5|PE 16:0_20:5,[M+H]+,KHLRCNXJXSYNCK-UHFFFAOYSA-N
408,2.03_762.51,PE 38:6 Isomer B ,[M-H]-,MPWUZHVZZKSTPV-LGFBOSHVSA-N
409,1.92_764.53,PE 38:6|PE 19:3_19:3,[M+H]+,SVTUSNWDMQTUBQ-UHFFFAOYSA-N
411,1.86_760.49,PE 38:7|PE 18:2_20:5 Isomer B,[M-H]-,AJTJVNKPLZTLHV-UHFFFAOYSA-N
414,2.27_790.54,PE 40:6|PE 18:1_22:5,[M-H]-,IZEXFAOLFRVCJS-UHFFFAOYSA-N
415,2.12_788.52,PE 40:7|PE 18:1_22:6,[M-H]-,JZSZAGWWWKKXLO-UHFFFAOYSA-N
416,1.73_812.53,PE 42:10 Isomer A,[M+H]+,YCPMBSIIFMAXDK-UHFFFAOYSA-N
420,2.01_748.53,PE O-16:1_22:6 ,[M+H]+,KGCPGAKRLOCUEV-ZLXBYIIJSA-N
422,2.45_774.54,PE O-18:1_22:6 ,[M-H]-,IVBLZGVNSKPGOR-XAJDCCMMSA-N
423,2.19_726.54,PE O-18:2_18:2 ,[M+H]+,CVFFRLVFXKZVIJ-MAZCIEHSSA-N
424,2.05_774.55,PE O-18:2_22:6 ,[M+H]+,VVEHXBSUSFPSAC-OJMLKDQNSA-N
425,2.20_746.51,PE O-22:6_16:1 ,[M-H]-,WVGALBKSWOUIEZ-ULUZTLKMSA-N
427,2.48_726.54,PE O-36:3 ,[M-H]-,CQHMZFNQRVSRPW-HLMRNWPHSA-N
428,2.31_724.53,PE O-36:4 Isomer B,[M-H]-,CVFFRLVFXKZVIJ-MAZCIEHSSA-N
429,3.03_756.59,PE O-38:2 ,[M-H]-,MXSLQGMWLWDDHB-YVCOGYDTSA-N
430,2.36_748.53,PE O-38:6 Isomer B ,[M-H]-,UZKXXUJVNWVEAA-GWWWPDGYSA-N
431,2.12_746.51,PE O-38:7 ,[M-H]-,QIQGIECOBDSDSX-IVGDTRDPSA-N
432,2.71_778.57,PE O-40:5 Isomer B ,[M-H]-,GZMXKUALKXYCMM-XSEHFSNESA-N
433,2.51_776.56,PE O-40:6 Isomer B ,[M-H]-,NKXPONDLZHZZND-PKBJNFAXSA-N
434,2.21_772.53,PE O-40:8 ,[M-H]-,VVEHXBSUSFPSAC-OJMLKDQNSA-N
437,2.16_724.53,PE P-36:4 or PE O-36:5 ,[M+H]+,ADWDFBQPQIEGRZ-XBICFDGKSA-N
438,2.11_720.50,PE P-36:5 or PE O-36:6 ,[M-H]-,RLLOITCRNQRGJD-DFAKUSJGSA-N
441,2.39_752.56,PE P-38:4 or PE O-38:5 Isomer A,[M+H]+,ZTZQZGHJLWFLFQ-VZBWJDOASA-N
442,2.54_750.54,PE P-38:4 or PE O-38:5 Isomer B,[M-H]-,URPXXNCTXCOATD-FXMFQVEGSA-N
443,2.17_750.54,PE P-38:5 or PE O-38:6 ,[M+H]+,IQSPCSIULMCRPM-ZAJUHDLGSA-N
445,2.31_778.57,PE P-40:5 or PE O-40:6 ,[M+H]+,HHQFKPJXVYWLLJ-ABYSKWQHSA-N
446,2.23_776.56,PE P-40:6|PE P-20:1_20:5,[M+H]+,WVSSIRPRBPEKCQ-UHFFFAOYSA-N
456,1.60_791.48,PG 38:7 ,[M-H]-,BRJYLBKRWAAAEC-UHFFFAOYSA-N
457,1.55_865.50,PG 44:12 ,[M-H]-,XACKZSRNTPEYBU-GZSOIYOPSA-N
458,2.29_722.51,Phosphatidylethanolamine alkenyl 16:0-20:4 ,[M-H]-,QDRJMAHGAQYRIN-PKKQLAOCSA-N
460,2.25_889.58,PI 18:0_20:2 ,[M-H]-,RZFIPFIGUWXYNB-UHFFFAOYSA-N
461,2.01_887.56,PI 18:0_20:4 ,[M+H]+,KRTOMQDUKGRFDJ-UHFFFAOYSA-N
462,1.99_911.56,PI 18:1_22:4 ,[M-H]-,OOSPMTMUZPWTKZ-DCMOKHIZSA-N
463,1.69_907.53,PI 18:1_22:6 ,[M-H]-,QHPDGSFYNQHVMI-UHFFFAOYSA-N
465,1.91_835.53,PI 34:1 Isomer A ,[M-H]- ,PDLAMJKMOKWLAJ-AGORXRROSA-N
467,1.78_833.52,PI 34:2 Isomer A ,[M-H]- ,ZPUUVEHXYAPJAQ-KOHXHNRGSA-N
468,2.11_863.56,PI 36:1 Isomer A ,[M-H]- ,YOBFISPJJWPPTK-JUCSSFOXSA-N
469,2.02_861.55,PI 36:2 ,[M-H]- ,KZVRAFHIKMDULK-PDPKURFXSA-N
470,1.77_859.53,PI 36:3 Isomer A ,[M-H]- ,UPMVFTFJRCVMKL-PVJQQWEWSA-N
471,1.87_859.53,PI 36:3 Isomer B ,[M-H]-,MXJMOLQIXMJUEL-UHFFFAOYSA-N
472,1.65_857.52,PI 36:4 ,[M-H]-,WPXXYOUAQYYXER-BFRKKRKTSA-N
473,1.64_855.50,PI 36:5 ,[M-H]-,FQGSWQFJOVVRRB-UHFFFAOYSA-N
475,2.08_887.56,PI 38:3 ,[M-H]-,VVADTISLHXZLIB-WNWAWKNRSA-N
476,1.97_885.55,PI 38:4 ,[M-H]- ,KRTOMQDUKGRFDJ-MWZLTEOLSA-N
477,1.83_883.53,PI 38:5,[M-H]-,SUYDNPBYMBTSMM-UHFFFAOYSA-N
478,1.88_907.53,PI 38:5 ,[M+Na]+,FRECHIGMANZWMF-REJVNYKHSA-N
479,1.84_909.55,PI 40:6 ,[M-H]-,QSUYYEJLNWCMIO-SIZJMFNESA-N
480,1.95_869.55,PI O-18:1_20:4 ,[M-H]-,VKRDRDRLFSZIGY-UHFFFAOYSA-N
481,2.02_895.57,PI O-18:1_22:5 ,[M-H]-,MMIJVISGGKKHBW-UHFFFAOYSA-N
486,2.04_810.53,PS 16:0_22:4 ,[M-H]-,BAGQGBPETWVHAA-BHYOAKPMSA-N
487,1.97_834.53,PS 18:0_22:6 ,[M-H]-,LYYHRRPTEXPVOR-UHFFFAOYSA-N
492,1.49_852.48,PS 38:7;O3|PS 22:6_16:1;O3,[M-H]-,BSOVXNXEEAGSTJ-UHFFFAOYSA-N
493,2.06_836.54,PS 40:5 ,[M-H]-,PZEFRSYCROBXSJ-UHFFFAOYSA-N
