identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
2.79_728.56	PE P-36:1 or PE O-36:2	53480895	1-(1-Enyl-oleoyl)-2-stearoyl-sn-glycero-3-phosphoethanolamine	OBAAWAYLQLYWNN-KHFVPPDWSA-N
2.56_726.54	Phosphatidylethanolamine alkenyl 18:0-18:2 	134760121	Phosphatidylethanolamine alkenyl 18:0-18:2	QBAQUPWJTLVJBD-CZAAGYDRSA-N
2.03_760.51	PS 34:1 	75958912	2-Amino-3-[(2-hexadec-9-enoyloxy-3-octadecanoyloxypropoxy)-hydroxyphosphoryl]oxypropanoic acid	BWQAJZLCZFRDSD-UHFFFAOYSA-N
2.21_788.54	PS 36:1 	72367181	2-Amino-3-[hydroxy-(3-octadecanoyloxy-2-octadec-9-enoyloxypropoxy)phosphoryl]oxypropanoic acid	AJFWREUFUPEYII-UHFFFAOYSA-N
2.04_786.53	PS 36:2 	3451126	Phosphatidylserine (bovine)	WTBFLCSPLLEDEM-UHFFFAOYSA-N
2.42_791.63	SM d36:0 	44260130	N-(octadecanoyl)-sphinganine-1-phosphocholine	JCELSEVNSMXGKA-IOLBBIBUSA-N
2.35_789.61	SM d36:1 Isomer B	6453725	Sphingomyelin (D18:1/18:0)	LKQLRGMMMAHREN-YJFXYUILSA-N
2.48_803.62	SM d37:1 	52931171	N-(nonadecanoyl)-sphing-4-enine-1-phosphocholine	HAFQHLHNPJDAGB-MAJDXUCPSA-N
2.60_817.64	SM d38:1 	44260124	C20 Sphingomyelin	AADLTHQNYQJHQV-SVLGDMRNSA-N
2.73_857.67	SM d41:2 Isomer A 	52931209	N-(tricosanoyl)-4E,14Z-sphingadienine-1-phosphocholine	JBDGKEXQKCCQFK-JWQIMADESA-N
