Lipid,identifier,lipid,Ion.species,INCHIKEY
563,4.12_883.77_4.12_878.82,TG 52:1,[M+Na]+_[M+NH4]+,NPCZZYKITFKRQZ-RFBIWTDZSA-N
565,3.88_874.79,TG 52:3|TG 16:0_18:1_18:2,[M+NH4]+,KGLAHZTWGPHKFF-UHFFFAOYSA-N
566,3.72_893.70,TG 52:4 ,[M+K]+,WHSWXEYWNPTUPW-HNJDVRDNSA-N
567,3.57_891.69,TG 52:5 ,[M+K]+,CQZAAIKPSLHIBC-KDJOUNIJSA-N
568,3.53_889.67_3.52_868.76,TG 52:6 ,[M+K]+_[M+NH4]+,SSOSFUDNINFYLJ-KIYGNKBKSA-N
569,4.21_892.84,TG 53:1 ,[M+NH4]+,WWJIBIGWKGFVAQ-JNSYTQKUSA-N
570,4.05_890.82,TG 53:2|TG 16:0_18:1_19:1,[M+NH4]+,IDUAWMUEKRFTEE-UHFFFAOYSA-N
571,3.94_888.79,TG 53:3|TG 17:0_18:1_18:2,[M+NH4]+,NIBMDPFMDDQNNX-UHFFFAOYSA-N
572,3.82_886.79,TG 53:4 ,[M+NH4]+,BMSDHYZLQWTKSQ-LSJAAEOESA-N
573,3.61_882.75,TG 53:6 ,[M+NH4]+,FJGQAOZVLVTFLT-HGQZSUFJSA-N
575,4.25_908.86,TG 54:0 ,[M+NH4]+,KKBWDSMULWDHME-UHFFFAOYSA-N
576,4.26_927.78_4.25_906.85,TG 54:1 ,[M+K]+_[M+NH4]+,YFFIQXNTTVSKJC-NZEOUKRFSA-N
577,4.12_925.77_4.12_904.84,TG 54:2 ,[M+K]+_[M+NH4]+,WUUWGORPQFKFQN-XDVOZUNOSA-N
578,3.99_902.82,TG 54:3|TG 18:0_18:1_18:2,[M+NH4]+,CNGSOZKJBWHOEG-UHFFFAOYSA-N
579,3.86_921.74_3.88_900.81,TG 54:4 ,[M+K]+_[M+NH4]+,BRLGHZXETDWABO-NOFIOOQLSA-N
580,3.72_919.71,TG 54:5 Isomer A ,[M+K]+,OEJXMJPFOHYSIU-GRLFFVHSSA-N
581,3.71_898.78,TG 54:5|TG 18:1_18:2_18:2,[M+NH4]+,VVEBTVMJPTZDHO-UHFFFAOYSA-N
582,3.59_917.71_3.59_896.78,TG 54:6 Isomer A ,[M+K]+_[M+NH4]+,HBOQXIRUPVQLKX-BBWANDEASA-N
583,3.63_917.70_3.69_896.77,TG 54:6 Isomer C ,[M+K]+_[M+NH4]+,HBOQXIRUPVQLKX-BBWANDEASA-N
584,3.54_915.69,TG 54:7 Isomer B ,[M+K]+,
585,4.02_952.86,TG 55:1;O2|TG 18:0_20:1_17:0;O2,[M+NH4]+,OSQWVKFDDMZRTJ-UHFFFAOYSA-N
586,4.05_916.84,TG 55:3 ,[M+NH4]+,
587,3.64_908.78,TG 55:7 ,[M+NH4]+,RBBGBIMRJNLGIC-AOEVTFCNSA-N
588,4.25_934.88,TG 56:1 ,[M+NH4]+,OCYFAHIHWCVZKS-FHSLLVMSSA-N
589,4.12_932.86,TG 56:2 Isomer A ,[M+NH4]+,PDEQUPGHMOMBFC-FYEHETCMSA-N
590,4.24_932.87,TG 56:2 Isomer B ,[M+NH4]+,PDEQUPGHMOMBFC-FYEHETCMSA-N
591,4.12_930.86,TG 56:3|TG 18:1_18:1_20:1,[M+NH4]+,QXMHHXQBBKDSSL-UHFFFAOYSA-N
592,3.99_928.84,TG 56:4|TG 18:1_20:1_18:2,[M+NH4]+,RHGAXCJSYVVFNV-UHFFFAOYSA-N
593,3.82_926.82,TG 56:5 Isomer A ,[M+NH4]+,UHEJWASONFIROS-YPSHDQQVSA-N
594,3.78_924.80,TG 56:6 ,[M+NH4]+,ZTNDRFCABXFVMY-WJTCTALZSA-N
595,3.81_924.81,TG 56:6|TG 18:0_18:1_20:5,[M+NH4]+,BLNSKVFNUJRUQY-UHFFFAOYSA-N
596,3.71_943.71,TG 56:7 Isomer B ,[M+K]+,DODZUDCYRVWEOJ-GKZBLMSTSA-N
597,4.27_946.89,TG 57:2 ,[M+NH4]+,OQPANTOJGGHRCB-OEIGHXOUSA-N
598,4.43_962.91,TG 58:1|TG 16:0_24:0_18:1,[M+NH4]+,IWHAIDBTHLHHMB-UHFFFAOYSA-N
599,4.24_960.89,TG 58:2 ,[M+NH4]+,NFQQJRGJJVQGAV-MEADVOAOSA-N
600,4.24_958.88,TG 58:3|TG 18:1_20:1_20:1,[M+NH4]+,RFMSTHTUAZETPD-UHFFFAOYSA-N
601,4.12_956.87,TG 58:4 ,[M+NH4]+,CCKRHDUCFMOBKX-AAINFQTBSA-N
602,4.04_954.85,TG 58:5 ,[M+NH4]+,
603,4.04_952.84,TG 58:6|TG 18:2_18:2_22:2,[M+NH4]+,XHVVLSLXKHPZQL-UHFFFAOYSA-N
604,4.45_990.94,TG 60:1 ,[M+NH4]+,
605,4.41_988.93,TG 60:2|TG 16:0_20:1_24:1,[M+NH4]+,FKOQTZUEHKHGIP-UHFFFAOYSA-N
606,4.37_1018.97,TG 62:1 ,[M+NH4]+,
607,4.43_1047.01,TG 64:1 ,[M+NH4]+,KVOXCTRWVFVTEO-SPKJYZRXSA-N
608,4.36_1045.00,TG 64:2 ,[M+NH4]+,
611,4.12_899.75,TG O-55:7|TG O-19:5_17:0_19:2,[M+Na]+,OJLSAGRRRSYFIU-UHFFFAOYSA-N
