identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
2.69_576.57	N-(eicosanoyl)sphingosine 	4307993	N-(1,3-dihydroxyoctadec-4-en-2-yl)icosanamide	XWBWIAOWSABHFI-UHFFFAOYSA-N
1.67_752.52	PC 16:1/18:4 	24778769	PC(16:1(9Z)/18:4(6Z,9Z,12Z,15Z))	ZNSRWHZSOOOECB-IHLJWWGMSA-N
2.29_868.56_2.29_892.61	PC 18:0_22:6 	133026175	(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	FAUYAENFVCNTAL-UHFFFAOYSA-N
2.70_842.66	PC 20:1_20:1 	24779063	1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine	AEUCYCQYAUFAKH-DITNKEBASA-N
2.29_748.59_2.28_770.57	PC 33:0 	52922645	1-Octadecanoyl-2-pentadecanoyl-glycero-3-phosphocholine	FHENRYRLCPXONH-LDLOPFEMSA-N
1.96_744.55_1.91_766.54	PC 33:2 Isomer A	52922715	1-(9Z,12Z-octadecadienoyl)-2-pentadecanoyl-glycero-3-phosphocholine	SBNDHGBVMZMSNL-UESLNCBNSA-N
1.80_754.54	PC 34:4 Isomer A	52922891	PC(18:4(6Z,9Z,12Z,15Z)/16:0)	YWDDIWXKFJEMKF-JTZVLWBESA-N
1.90_812.54	PC 34:4 Isomer B 	52922891	PC(18:4(6Z,9Z,12Z,15Z)/16:0)	YWDDIWXKFJEMKF-JTZVLWBESA-N
2.01_782.57	PC 36:4 Isomer B	10747814	Phosphatidylcholine(16:0/20:4w6)	IIZPXYDJLKNOIY-JXPKJXOSSA-N
2.14_840.58	PC 36:4 Isomer C 	10747814	Phosphatidylcholine(16:0/20:4w6)	IIZPXYDJLKNOIY-JXPKJXOSSA-N
1.81_780.55	PC 36:5 Isomer C 	52923341	PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)	SUZYROYNFNQALJ-MHEIZRSESA-N
1.88_780.56_1.87_802.54	PC 36:5 Isomer D 	52923341	PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)	SUZYROYNFNQALJ-MHEIZRSESA-N
1.97_838.56	PC 36:5 Isomer B 	24778771	PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))	DYDDZDMJSQYFGN-OIVUZXIWSA-N
1.74_778.54_1.77_800.52	PC 36:6 	52922847	PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))	SPWBDEZMKCRQSX-NGPPOSSDSA-N
2.48_814.63	PC 38:2 Isomer A	24779263	1-eicosanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine	KXXLFCAPKGRXBT-FMJYHZMHSA-N
2.24_810.60_2.23_832.58	PC 38:4 Isomer C 	16219824	[(2R)-2-[(5Z,8Z,11Z,14Z)-1-oxoeicosa-5,8,11,14-tetraenoxy]-3-(1-oxooctadecoxy)propyl] 2-(trimethylammonio)ethyl phosphate	PSVRFUPOQYJOOZ-QNPWAGBNSA-N
2.02_808.59_2.02_830.56	PC 38:5 Isomer A 	52923235	PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))	SUACBSWYGWBPFC-GPUJSUHJSA-N
2.15_866.59	PC 38:5 Isomer B 	53479033	PC(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))	YLWBKBDNHWQEFU-YJXJLLHLSA-N
1.88_806.57_1.88_828.55	PC 38:6 Isomer A 	52923295	PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))	PLZBTDKJYHXIEW-DZUXOTHRSA-N
2.06_806.57	PC 38:6 Isomer C 	52923295	PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))	PLZBTDKJYHXIEW-DZUXOTHRSA-N
1.99_864.58	PC 38:6 Isomer B	53478789	PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))	RUHBZJXWUDKAMZ-XXAGCNFXSA-N
1.76_804.56_1.74_826.53	PC 38:7 	53479075	PC(20:4(8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))	BNNUJTATKJXKJP-XCDHYEIISA-N
1.79_802.53	PC 38:8 	138163135	[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-[(9Z,12Z)-hexadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	GQTMDGAVIYVIDL-RVTNGMKESA-N
2.01_820.59_2.02_842.57	PC 39:6 	52922637	1-(9Z,12Z-heptadecadienoyl)-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-glycero-3-phosphocholine	QMCWOGICYCFNBF-BWHZRABLSA-N
2.50_840.65	PC 40:3 	25244692	[3-docosanoyloxy-2-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	JYFWSVLYQSTYHE-XEAUMUMLSA-N
2.39_838.63	PC 40:4 Isomer B	53479183	1-(13Z-docosenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine	FHUAYOMRHXZKHT-JUGJLYODSA-N
2.55_896.64	PC 40:4 Isomer C	52923573	PC(22:2(13Z,16Z)/18:2(9Z,12Z))	QQIYXJBHMDYXHH-NMUBDWGHSA-N
2.24_836.62_2.22_858.60	PC 40:5 Isomer A 	53479083	PC(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))	IJTJDJOOHZVSAC-NDRUHXFFSA-N
2.38_894.62	PC 40:5 Isomer B 	52923133	PC(20:1(11Z)/20:4(5Z,8Z,11Z,14Z))	LJFKFKIYUJNFPZ-ZLFSCUDPSA-N
2.08_834.60_2.08_856.58	PC 40:6 Isomer A 	52923579	PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))	KZSXWBSDQDXESU-PPEVQBTRSA-N
2.16_834.60_2.17_856.58	PC 40:6 Isomer B 	52923195	PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))	TYRTWVKQVGNGSZ-RGBTVBCDSA-N
2.08_890.59	PC 40:7 	133026127	(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	FPEVDFOXMCHLKL-UHFFFAOYSA-N
1.91_832.59	PC 40:7 Isomer A 	24778982	PC(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))	BPUROMFCPFGBOT-ZEGPSQTJSA-N
1.96_832.59_1.96_854.57	PC 40:7 Isomer B 	24778982	PC(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))	BPUROMFCPFGBOT-ZEGPSQTJSA-N
2.23_848.62	PC 41:6|PC 19:0_22:6	75956074	(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-nonadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate	MCBZZOAHAMROOU-UHFFFAOYSA-N
2.43_864.65	PC 42:5 	52923591	PC(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))	APYSSUSAYQRESE-VZWUYPTESA-N
2.27_862.63	PC 42:6 Isomer A	52923651	PC(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))	DSVRMAGYENFTLY-GDDYDVMSSA-N
2.23_862.63	PC 42:6 Isomer B	138316086	[3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxy-2-[(12Z,15Z,18Z,21Z)-tetracosa-12,15,18,21-tetraenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	ZQZWZGRWXYGCHL-KWBDKPQYSA-N
2.17_860.62	PC 42:7 	52923595	PC(22:2(13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))	LQGLSURTFNDIMU-JXUGAEHWSA-N
1.84_856.59	PC 42:9 	53479107	PC(20:4(8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))	FDDWZRUXIMATBC-WHMDNIGFSA-N
1.71_900.55_1.71_878.57	PC 44:12	74051656	2,3-Di(docosa-4,7,10,13,16,19-hexaenoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphate	XLKQWAMTMYIQMG-UHFFFAOYSA-N
2.28_826.60	PC P-36:3 or PC O-36:4 	53481701	PC(o-16:0/20:4(8Z,11Z,14Z,17Z))	SOUZQPFUXRVDGK-KCTKZSJBSA-N
2.22_838.60	PC O-18:1_20:4 	24779390	1-(1-enyl-stearoyl)-2-arachidonoyl-sn-glycero-3-phosphocholine	FHHVIBPVBBRLOR-IYACIECVSA-N
2.11_716.56	PC O-32:2 	138221117	[3-[(9Z,12Z)-hexadeca-9,12-dienoxy]-2-hexadecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	NOYDAUSEIWVTMO-XOMYGGGSSA-N
2.01_722.51	PC O-33:6 	164494092	[3-nonoxy-2-[(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosa-6,9,12,15,18,21-hexaenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	YTUHEWRQCXCRCS-MSXCAIDTSA-N
2.40_788.58	PC O-34:2 	138286710	[3-[(Z)-hexadec-9-enoxy]-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	WDQJCKHLEYAETE-MGXYOJEMSA-N
2.36_778.58	PC O-37:6 	164475341	[3-nonoxy-2-[(10Z,13Z,16Z,19Z,22Z,25Z)-octacosa-10,13,16,19,22,25-hexaenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	XJDKSTIRVDWFRL-MSXCAIDTSA-N
2.14_848.58	PC O-38:7 	138205619	[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-[(Z)-hexadec-9-enoxy]propyl] 2-(trimethylazaniumyl)ethyl phosphate	LSUUYCOJTDXYNX-AQISBKEKSA-N
2.10_802.57	PC O-39:8 	138157243	[3-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoxy]-2-[(9Z,12Z)-heptadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	FYLHFHLSNYCGOC-FPWUCMTFSA-N
2.52_880.64	PC O-40:5 	24779339	[2-[(7E,10E,13E,16E,19E)-docosa-7,10,13,16,19-pentaenoyl]oxy-3-octadecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	HJDYJUQFSIJNGA-MMLUMLTRSA-N
2.21_876.61	PC O-40:7 	138215244	[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-[(Z)-octadec-9-enoxy]propyl] 2-(trimethylazaniumyl)ethyl phosphate	MWJZGUPJPKCTCF-BGOAOESGSA-N
2.30_846.64	PC O-42:7 or PC 42:7e 	164503735	[2-[(7Z,10Z,13Z,16Z,19Z,22Z,25Z)-octacosa-7,10,13,16,19,22,25-heptaenoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	ZMQLLTKZNYACNP-MSTLYMIMSA-N
1.97_716.56	PC P-32:1 or PC O-32:2 	52923882	1-(1-Enyl-palmitoyl)-2-palmitoleoyl-sn-glycero-3-phosphocholine	FZMYLOBGNYZPQO-QLSONYGBSA-N
2.38_796.62	PC P-38:3 or PC O-38:4	53480815	PC(P-18:1(9Z)/20:2(11Z,14Z))	GWBOVQHRCURSPU-QMFAPAEZSA-N
2.53_854.63	PC P-38:3 or PC O-38:4 	53480815	PC(P-18:1(9Z)/20:2(11Z,14Z))	GWBOVQHRCURSPU-QMFAPAEZSA-N
2.18_794.61	PC P-38:4 or PC O-38:5 Isomer A 	53480715	PC(P-18:0/20:4(8Z,11Z,14Z,17Z))	YPAPIRJFGNBODV-AMFPDOHCSA-N
2.33_794.61	PC P-38:4 or PC O-38:5 Isomer B 	53480759	PC(P-18:1(11Z)/20:3(5Z,8Z,11Z))	DYFGXBAIDOATAE-DSLLYOFSSA-N
2.48_852.61	PC P-38:4 or PC O-38:5 Isomer C	53480761	PC(P-18:1(11Z)/20:3(8Z,11Z,14Z))	DBQMOXDLWKVKKG-REWQMPQJSA-N
2.20_850.60	PC P-38:5 or PC O-38:6 	53479121	PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))	ATTCDOPAYPGSLE-LQULQHAGSA-N
2.08_792.59	PC P-38:5 or PC O-38:6 Isomer A 	53480695	PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))	FAKYQMLQEAQOLK-LHZZQLRFSA-N
2.38_822.64	PC P-40:4 or PC O-40:5 	52924022	PC(P-20:0/20:4(5Z,8Z,11Z,14Z))	UWNFEVACEPZILS-RNNLSGHUSA-N
2.30_820.62	PC P-40:5 or PC O-40:6 	53480775	PC(P-18:1(11Z)/22:4(7Z,10Z,13Z,16Z))	KUHMJRMPHBRAMY-DDURNVNNSA-N
2.09_818.61	PC P-40:6 or PC O-40:7 Isomer A 	53479405	PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))	XUVCLJCZWPTAIO-OAKHYACESA-N
2.26_818.61	PC P-40:6 or PC O-40:7 Isomer B 	53479425	PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)	FMBYBTSZVHUJMV-DIVFMYBRSA-N
2.04_816.59	PC P-40:7 or PC O-40:8 	53480839	PC(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	PWAHARWXEAMNGK-VCDFOAEJSA-N
2.38_848.65	PC P-42:5 or PC O-42:6	53481769	PC(o-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))	QZMFOSCFDWPISC-KQHSIIGPSA-N
2.54_848.65	PC P-42:5 or PC O-42:6	53481769	PC(o-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))	QZMFOSCFDWPISC-KQHSIIGPSA-N
2.36_818.60	PC-p 18:0_22:6 	42607430	PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TXHZYNSTTCIWMJ-RXSQUPBGSA-N
2.18_738.51	PE 36:4 	138221545	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate	NQIMLWFRWGTTOZ-JAXHXWBXSA-N
1.90_738.51	PE 36:5|PE 16:0_20:5	75957871	[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate	KHLRCNXJXSYNCK-UHFFFAOYSA-N
2.03_762.51	PE 38:6 Isomer B 	6426738	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate	MPWUZHVZZKSTPV-LGFBOSHVSA-N
2.27_790.54	PE 40:6|PE 18:1_22:5	76042109	[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadec-9-enoyloxypropan-2-yl] docosa-7,10,13,16,19-pentaenoate	IZEXFAOLFRVCJS-UHFFFAOYSA-N
2.12_788.52	PE 40:7|PE 18:1_22:6	75955284	[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadec-9-enoyloxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate	JZSZAGWWWKKXLO-UHFFFAOYSA-N
2.01_748.53	PE O-16:1_22:6 	138193153	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-hexadec-9-enoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate	KGCPGAKRLOCUEV-ZLXBYIIJSA-N
2.45_774.54	PE O-18:1_22:6 	138181306	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate	IVBLZGVNSKPGOR-XAJDCCMMSA-N
2.19_726.54	PE O-18:2_18:2 	138139358	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoxy]propan-2-yl] (9Z,12Z)-octadeca-9,12-dienoate	CVFFRLVFXKZVIJ-MAZCIEHSSA-N
2.31_724.53	PE O-36:4 Isomer B	138139358	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoxy]propan-2-yl] (9Z,12Z)-octadeca-9,12-dienoate	CVFFRLVFXKZVIJ-MAZCIEHSSA-N
2.05_774.55	PE O-18:2_22:6 	138283942	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate	VVEHXBSUSFPSAC-OJMLKDQNSA-N
2.21_772.53	PE O-40:8 	138283942	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate	VVEHXBSUSFPSAC-OJMLKDQNSA-N
2.20_746.51	PE O-22:6_16:1 	134777290	Phosphatidylethanolamine alkenyl 16:0-22:6	WVGALBKSWOUIEZ-ULUZTLKMSA-N
2.48_726.54	PE O-36:3 	138137779	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-octadecoxypropan-2-yl] (9Z,12Z,15Z)-octadeca-9,12,15-trienoate	CQHMZFNQRVSRPW-HLMRNWPHSA-N
3.03_756.59	PE O-38:2 	138215641	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-tetradecoxypropan-2-yl] (13Z,16Z)-tetracosa-13,16-dienoate	MXSLQGMWLWDDHB-YVCOGYDTSA-N
2.36_748.53	PE O-38:6 Isomer B 	134772254	Phosphatidylethanolamine alkenyl 18:0-20:5	UZKXXUJVNWVEAA-GWWWPDGYSA-N
2.12_746.51	PE O-38:7 	138244210	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoxy]propan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate	QIQGIECOBDSDSX-IVGDTRDPSA-N
2.71_778.57	PE O-40:5 Isomer B 	134734287	Phosphatidylethanolamine alkenyl 18:0-22:4	GZMXKUALKXYCMM-XSEHFSNESA-N
2.51_776.56	PE O-40:6 Isomer B 	138219791	[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoxy]propan-2-yl] (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate	NKXPONDLZHZZND-PKBJNFAXSA-N
2.16_724.53	PE P-36:4 or PE O-36:5 	53480870	PE(P-18:1(11Z)/18:3(6Z,9Z,12Z))	ADWDFBQPQIEGRZ-XBICFDGKSA-N
2.11_720.50	PE P-36:5 or PE O-36:6 	52925061	PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))	RLLOITCRNQRGJD-DFAKUSJGSA-N
2.39_752.56	PE P-38:4 or PE O-38:5 Isomer A	53480855	PE(P-18:0/20:4(8Z,11Z,14Z,17Z))	ZTZQZGHJLWFLFQ-VZBWJDOASA-N
2.54_750.54	PE P-38:4 or PE O-38:5 Isomer B	86289532	[R-(all-Z)]-5,8,11,14-Eicosatetraenoic acid	URPXXNCTXCOATD-FXMFQVEGSA-N
2.17_750.54	PE P-38:5 or PE O-38:6 	53479831	PE(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))	IQSPCSIULMCRPM-ZAJUHDLGSA-N
2.31_778.57	PE P-40:5 or PE O-40:6 	53480857	PE(P-18:0/22:5(4Z,7Z,10Z,13Z,16Z))	HHQFKPJXVYWLLJ-ABYSKWQHSA-N
1.60_791.48	PG 38:7 	75960065	[1-[2,3-Dihydroxypropoxy(hydroxy)phosphoryl]oxy-3-hexadec-9-enoyloxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate	BRJYLBKRWAAAEC-UHFFFAOYSA-N
1.55_865.50	PG 44:12 	134777753	Phosphatidylglyceride 22:6-22:6	XACKZSRNTPEYBU-GZSOIYOPSA-N
2.29_722.51	Phosphatidylethanolamine alkenyl 16:0-20:4 	134760384	Phosphatidylethanolamine alkenyl 16:0-20:4	QDRJMAHGAQYRIN-PKKQLAOCSA-N
2.25_889.58	PI 18:0_20:2 	75961260	[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-11,14-dienoate	RZFIPFIGUWXYNB-UHFFFAOYSA-N
2.01_887.56	PI 18:0_20:4 	72280035	[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-5,8,11,14-tetraenoate	KRTOMQDUKGRFDJ-UHFFFAOYSA-N
1.99_911.56	PI 18:1_22:4 	138229402	[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (10Z,13Z,16Z,19Z)-docosa-10,13,16,19-tetraenoate	OOSPMTMUZPWTKZ-DCMOKHIZSA-N
1.69_907.53	PI 18:1_22:6 	75960351	[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadec-9-enoyloxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate	QHPDGSFYNQHVMI-UHFFFAOYSA-N
1.91_835.53	PI 34:1 Isomer A 	5771758	1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol)	PDLAMJKMOKWLAJ-AGORXRROSA-N
1.87_859.53	PI 36:3 Isomer B 	74413360	[3-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-2-octadeca-9,12-dienoyloxypropyl] octadec-9-enoate	MXJMOLQIXMJUEL-UHFFFAOYSA-N
1.64_855.50	PI 36:5 	75961205	[1-Hexadecanoyloxy-3-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate	FQGSWQFJOVVRRB-UHFFFAOYSA-N
1.97_885.55	PI 38:4 	42607491	PI(38:4)	KRTOMQDUKGRFDJ-MWZLTEOLSA-N
1.83_883.53	PI 38:5	75961187	[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate	SUYDNPBYMBTSMM-UHFFFAOYSA-N
1.88_907.53	PI 38:5 	138154940	[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-[(Z)-tetradec-9-enoyl]oxypropan-2-yl] (12Z,15Z,18Z,21Z)-tetracosa-12,15,18,21-tetraenoate	FRECHIGMANZWMF-REJVNYKHSA-N
2.04_810.53	PS 16:0_22:4 	138124235	2-amino-3-[[2-[(10Z,13Z,16Z,19Z)-docosa-10,13,16,19-tetraenoyl]oxy-3-hexadecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	BAGQGBPETWVHAA-BHYOAKPMSA-N
1.97_834.53	PS 18:0_22:6 	75228707	2-Amino-3-[(2-docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadecanoyloxypropoxy)-hydroxyphosphoryl]oxypropanoic acid	LYYHRRPTEXPVOR-UHFFFAOYSA-N
1.89_808.51	PS 38:5|PS 18:0_20:5	75958909	2-Amino-3-[hydroxy-(2-icosa-5,8,11,14,17-pentaenoyloxy-3-octadecanoyloxypropoxy)phosphoryl]oxypropanoic acid	DERBZMCOPJTRSZ-UHFFFAOYSA-N
2.06_836.54	PS 40:5 	76042794	2-Amino-3-[(2-docosa-7,10,13,16,19-pentaenoyloxy-3-octadecanoyloxypropoxy)-hydroxyphosphoryl]oxypropanoic acid	PZEFRSYCROBXSJ-UHFFFAOYSA-N
2.08_743.60	SM 29:2;2O/8:0 	164472176	[(4E,8E)-3-hydroxy-2-(octanoylamino)nonacosa-4,8-dienyl] 2-(trimethylazaniumyl)ethyl phosphate	XCWVCMIJMLUUFH-NOWNJZKOSA-N
2.10_739.57	SM 35:1;2O 	164360868	[(E)-2-(heptacosanoylamino)-3-hydroxyoct-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate	NZVSGOQOFUVMHA-QOSDPKFLSA-N
1.88_755.56	SM 37:4;3O 	164390119	[(8E,12E,16E)-3,4-dihydroxy-2-[[(Z)-nonadec-9-enoyl]amino]octadeca-8,12,16-trienyl] 2-(trimethylazaniumyl)ethyl phosphate	QFCPIEOQTPOOTG-BIQXSSBLSA-N
