lipid	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	comparison	module
PE 36:5|PE 16:0_20:5	0.927488378003812	15.5537685388562	14.6262801608523	4.46730545475085	0.000284185966647624	18.3797587701155	0.49194643936149	1.36303031664613	Welch Two Sample t-test	two.sided	0.000712957775975618	13v30	module1
PE 38:6 Isomer B 	1.24725837746393	12.4038426405192	11.1565842630552	5.8874017231427	1.16292628899246e-05	18.9117751510993	0.803706804130312	1.69080995079756	Welch Two Sample t-test	two.sided	6.65193837303689e-05	13v30	module1
PE 40:6|PE 18:1_22:5	0.906125528664509	10.3823681399683	9.4762426113038	4.11258084600062	0.00055808472081047	19.6457063406741	0.445992969727511	1.36625808760151	Welch Two Sample t-test	two.sided	0.00126676373136345	13v30	module1
PE 40:7|PE 18:1_22:6	1.36635662343013	10.705070696873	9.33871407344284	6.99320287361319	9.03497352367843e-07	19.8738018814708	0.958627759430471	1.77408548742979	Welch Two Sample t-test	two.sided	1.84571601983716e-05	13v30	module1
PE O-16:1_22:6 	0.514813064377485	14.3436537342233	13.8288406698458	3.07348004174258	0.00594899878722711	20.188361863757	0.165619558737364	0.864006570017606	Welch Two Sample t-test	two.sided	0.00825928957838327	13v30	module1
PE O-36:3 	0.603254448161939	7.86491733864869	7.26166289048675	3.94635516319644	0.000708191118080319	21.5760086634878	0.285872951979199	0.920635944344679	Welch Two Sample t-test	two.sided	0.00146770043312298	13v30	module1
PG 44:12 	0.697787251977691	6.42526101582311	5.72747376384542	2.63066856806171	0.0166406625795908	18.6425844041981	0.141889416033055	1.25368508792233	Welch Two Sample t-test	two.sided	0.0203360083325905	13v30	module1
SM 37:4;3O 	0.714223408261851	11.8994027623847	11.1851793541229	3.80859977163053	0.00125547935570324	18.2929226507799	0.32069104940001	1.10775576712369	Welch Two Sample t-test	two.sided	0.00236228352454689	13v30	module1
TG 54:5 Isomer A 	0.96255802528152	12.8562890814249	11.8937310561434	2.953616424945	0.00489863304809059	46.8502473043182	0.306893883691467	1.61822216687157	Welch Two Sample t-test	two.sided	0.0220438487164076	13v30	module2
PC 18:0_18:1 	0.290484647934743	8.86828466778917	8.57780001985442	4.02909586516575	0.000222704722703987	43.2372432071526	0.145110797117876	0.43585849875161	Welch Two Sample t-test	two.sided	0.00524360247475356	13v5	module3
PC 36:1 Isomer A	0.365103890728973	15.0771217680988	14.7120178773698	3.66500452940352	0.000710550034854982	40.5016126653975	0.163844135828901	0.566363645629044	Welch Two Sample t-test	two.sided	0.00993972455409141	13v5	module3
PC 36:1 Isomer B	0.288080553537538	9.86440685961801	9.57632630608047	3.73341826110031	0.000591207240330981	39.7657070703103	0.132100335391987	0.44406077168309	Welch Two Sample t-test	two.sided	0.00919058528150888	13v5	module3
PC O-34:0 Isomer A	0.329674117210887	13.630159679041	13.3004855618301	3.40121725032205	0.00137755427838228	47.0357380047165	0.134683492583	0.524664741838774	Welch Two Sample t-test	two.sided	0.0123979885054405	13v5	module3
PC O-34:1|PC O-16:0_18:1	0.323983916885432	15.6444995157968	15.3205155989113	3.23487978118171	0.00226444506573835	45.6935900893831	0.122349273118506	0.525618560652358	Welch Two Sample t-test	two.sided	0.0154888042496503	13v5	module3
