InChIKey,Chemical Name,PubChem CID
JLPULHDHAOZNQI-UHFFFAOYSA-N,"[3-(1-oxohexadecoxy)-2-(1-oxooctadeca-9,12-dienoxy)propyl] 2-(trimethylammonio)ethyl phosphate",122218
IESVDEZGAHUQJU-UHFFFAOYSA-N,"(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-hexadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate",74063529
ZNSRWHZSOOOECB-IHLJWWGMSA-N,"PC(16:1(9Z)/18:4(6Z,9Z,12Z,15Z))",24778769
ATHVAWFAEPLPPQ-UHFFFAOYSA-N,(3-Octadecanoyloxy-2-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,3033933
FAUYAENFVCNTAL-UHFFFAOYSA-N,"(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate",133026175
QKKKBFSONQRFRO-UHFFFAOYSA-N,,
HRBNRYBXXRPMKP-OMCHRGCMSA-N,"[2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",24778981
ZHAHTCLACAJNQI-SEYXRHQNSA-N,[3-acetyloxy-2-[(Z)-heptadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,138312775
AEUCYCQYAUFAKH-DITNKEBASA-N,"1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine",24779063
XOZKRFBVCYMGKM-GKFVBPDJSA-N,"[2-[(6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoyl]oxy-3-propanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",138298680
GFFACUDRMCKGID-ZKWNWVNESA-N,"[3-acetyloxy-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",138159393
IJFVSSZAOYLHEE-UHFFFAOYSA-N,Dilaurylphosphatidylcholine,65262
BQAGEKPOHNCEPX-UHFFFAOYSA-N,(3-Decanoyloxy-2-tetradecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,24778525
VBWSYJOSSOZQOH-UHFFFAOYSA-N,(3-Decanoyloxy-2-hexadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,138277677
JCBOOWOAEHBYJL-UHFFFAOYSA-N,,
CITGLCJVPOWHKC-UUWRZZSWSA-N,,
ZLWBMGNHUKXHDG-UHFFFAOYSA-N,,
GWWAIYISJPUKIW-UHFFFAOYSA-N,(3-Acetyloxy-2-heptacosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,138165033
LLHISNQVRRYJGL-UHFFFAOYSA-N,(2-Hexadecanoyloxy-3-pentadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,14818904
QFVHCMLUKNHDSH-UHFFFAOYSA-N,,
QFVHCMLUKNHDSH-WTWBAFHPSA-N,1-pentadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,24778657
KILNVBDSWZSGLL-KXQOOQHDSA-N,Colfosceril Palmitate,452110
